country,name,price,price_formatted,currency,price_eur
us,Advanced AI,19.99,$19.99,USD,17.15
us,Pro,9.99,$9.99,USD,8.57
us,Pro,96.0,$96.00,USD,82.37
us,Advanced AI,191.99,$191.99,USD,164.73
tr,Advanced AI,799.99,"₺799,99",TRY,16.64
tr,Pro,399.99,"₺399,99",TRY,8.32
tr,Advanced AI,7399.99,"₺7.399,99",TRY,153.92
tr,Pro,3699.0,"₺3.699,00",TRY,76.94
de,Advanced AI,19.99,"19,99 €",EUR,19.99
de,Pro,9.99,"9,99 €",EUR,9.99
de,Advanced AI,177.99,"177,99 €",EUR,177.99
de,Pro,88.99,"88,99 €",EUR,88.99
gb,Advanced AI,17.99,£17.99,GBP,20.69
gb,Pro,7.99,£7.99,GBP,9.19
gb,Advanced AI,150.99,£150.99,GBP,173.64
gb,Pro,75.0,£75.00,GBP,86.25
fr,Advanced AI,19.99,"19,99 €",EUR,19.99
fr,Pro,9.99,"9,99 €",EUR,9.99
fr,Pro,88.99,"88,99 €",EUR,88.99
fr,Advanced AI,177.99,"177,99 €",EUR,177.99
es,Advanced AI,19.99,"19,99 €",EUR,19.99
es,Pro,9.99,"9,99 €",EUR,9.99
es,Pro,88.99,"88,99 €",EUR,88.99
es,Advanced AI,177.99,"177,99 €",EUR,177.99
fi,Advanced AI,19.99,"19,99 €",EUR,19.99
fi,Pro,9.99,"9,99 €",EUR,9.99
fi,Advanced AI,177.99,"177,99 €",EUR,177.99
fi,Pro,88.99,"88,99 €",EUR,88.99
ca,Pro,12.99,$12.99,CAD,8.08
ca,Advanced AI,24.99,$24.99,CAD,15.54
ca,Advanced AI,264.99,$264.99,CAD,164.82
ca,Pro,132.99,$132.99,CAD,82.72
it,Pro,9.99,"9,99 €",EUR,9.99
it,Advanced AI,19.99,"19,99 €",EUR,19.99
it,Advanced AI,177.99,"177,99 €",EUR,177.99
it,Pro,88.99,"88,99 €",EUR,88.99
au,Pro,15.49,$15.49,AUD,8.69
au,Advanced AI,29.99,$29.99,AUD,16.82
au,Advanced AI,299.99,$299.99,AUD,168.29
au,Pro,149.0,$149.00,AUD,83.59
at,Pro,9.99,"9,99 €",EUR,9.99
at,Advanced AI,19.99,"19,99 €",EUR,19.99
at,Advanced AI,177.99,"177,99 €",EUR,177.99
at,Pro,88.99,"88,99 €",EUR,88.99
nl,Pro,9.99,"€ 9,99",EUR,9.99
nl,Advanced AI,19.99,"€ 19,99",EUR,19.99
nl,Advanced AI,177.99,"€ 177,99",EUR,177.99
nl,Pro,88.99,"€ 88,99",EUR,88.99
ch,Advanced AI,18.0,CHF 18.00,CHF,19.26
ch,Advanced AI,170.0,CHF 170.00,CHF,181.9
ch,Pro,9.0,CHF 9.00,CHF,9.63
ch,Pro,85.0,CHF 85.00,CHF,90.95
pt,Pro,9.99,"9,99 €",EUR,9.99
pt,Advanced AI,19.99,"19,99 €",EUR,19.99
pt,Advanced AI,177.99,"177,99 €",EUR,177.99
pt,Pro,88.99,"88,99 €",EUR,88.99
se,Advanced AI,249.0,"249,00 kr",SEK,22.63
se,Pro,129.0,"129,00 kr",SEK,11.73
se,Pro,1019.0,"1 019,00 kr",SEK,92.63
se,Advanced AI,2100.0,"2 100,00 kr",SEK,190.89
no,Advanced AI,249.0,"249,00 kr",NOK,21.29
no,Pro,129.0,"129,00 kr",NOK,11.03
no,Advanced AI,2090.0,"2.090,00 kr",NOK,178.7
no,Pro,1050.0,"1.050,00 kr",NOK,89.78
be,Advanced AI,19.99,"19,99 €",EUR,19.99
be,Pro,9.99,"9,99 €",EUR,9.99
be,Advanced AI,177.99,"177,99 €",EUR,177.99
be,Pro,88.99,"88,99 €",EUR,88.99
ie,Advanced AI,19.99,€19.99,EUR,19.99
ie,Pro,9.99,€9.99,EUR,9.99
ie,Advanced AI,177.99,€177.99,EUR,177.99
ie,Pro,88.99,€88.99,EUR,88.99
jp,Advanced AI,3000.0,"¥3,000",JPY,17.37
jp,Pro,1500.0,"¥1,500",JPY,8.69
jp,Pro,14300.0,"¥14,300",JPY,82.8
jp,Advanced AI,28800.0,"¥28,800",JPY,166.75
dk,Pro,69.0,"69,00 kr",DKK,9.25
dk,Advanced AI,149.0,"149,00 kr",DKK,19.97
