country,name,price,price_formatted,currency
us,Claude Pro - Monthly,20.0,$20.00,USD
us,Claude Max 5x - Monthly,124.99,$124.99,USD
us,Claude Max 20x - Monthly,249.99,$249.99,USD
us,Claude Pro - Annual,214.99,$214.99,USD
tr,Claude Pro - Monthly,799.99,"₺799,99",TRY
tr,Claude Max 5x - Monthly,4999.99,"₺4.999,99",TRY
tr,Claude Max 20x - Monthly,9999.99,"₺9.999,99",TRY
tr,Claude Pro - Annual,8699.99,"₺8.699,99",TRY
de,Claude Pro - Monthly,22.0,"22,00 €",EUR
de,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
de,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
de,Claude Pro - Annual,239.0,"239,00 €",EUR
gb,Claude Pro - Monthly,20.0,£20.00,GBP
gb,Claude Max 5x - Monthly,124.99,£124.99,GBP
gb,Claude Max 20x - Monthly,249.99,£249.99,GBP
gb,Claude Pro - Annual,214.99,£214.99,GBP
fr,Claude Pro - Monthly,22.0,"22,00 €",EUR
fr,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
fr,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
fr,Claude Pro - Annual,239.0,"239,00 €",EUR
es,Claude Pro - Monthly,22.0,"22,00 €",EUR
es,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
es,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
es,Claude Pro - Annual,239.0,"239,00 €",EUR
fi,Claude Pro - Monthly,22.0,"22,00 €",EUR
fi,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
fi,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
fi,Claude Pro - Annual,239.0,"239,00 €",EUR
ca,Claude Pro - Monthly,28.0,$28.00,CAD
ca,Claude Max 5x - Monthly,174.99,$174.99,CAD
ca,Claude Pro - Annual,299.99,$299.99,CAD
ca,Claude Max 20x - Monthly,349.99,$349.99,CAD
it,Claude Pro - Monthly,22.0,"22,00 €",EUR
it,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
it,Claude Pro - Annual,239.0,"239,00 €",EUR
it,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
au,Claude Pro - Monthly,33.99,$33.99,AUD
au,Claude Max 5x - Monthly,209.99,$209.99,AUD
au,Claude Pro - Annual,369.0,$369.00,AUD
au,Claude Max 20x - Monthly,429.0,$429.00,AUD
at,Claude Pro - Monthly,22.0,"22,00 €",EUR
at,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
at,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
at,Claude Pro - Annual,239.0,"239,00 €",EUR
nl,Claude Pro - Monthly,22.0,"€ 22,00",EUR
nl,Claude Max 5x - Monthly,137.99,"€ 137,99",EUR
nl,Claude Max 20x - Monthly,274.99,"€ 274,99",EUR
nl,Claude Pro - Annual,239.0,"€ 239,00",EUR
ch,Claude Pro - Monthly,20.0,CHF 20.00,CHF
ch,Claude Max 5x - Monthly,125.0,CHF 125.00,CHF
ch,Claude Max 20x - Monthly,250.0,CHF 250.00,CHF
ch,Claude Pro - Annual,216.0,CHF 216.00,CHF
pt,Claude Pro - Monthly,22.0,"22,00 €",EUR
pt,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
pt,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
pt,Claude Pro - Annual,239.0,"239,00 €",EUR
se,Claude Pro - Monthly,249.0,"249,00 kr",SEK
se,Claude Max 5x - Monthly,1559.0,"1 559,00 kr",SEK
se,Claude Pro - Annual,2690.0,"2 690,00 kr",SEK
se,Claude Max 20x - Monthly,3099.0,"3 099,00 kr",SEK
no,Claude Pro - Monthly,249.0,"249,00 kr",NOK
no,Claude Max 5x - Monthly,1559.0,"1.559,00 kr",NOK
no,Claude Pro - Annual,2690.0,"2.690,00 kr",NOK
no,Claude Max 20x - Monthly,3099.0,"3.099,00 kr",NOK
be,Claude Pro - Monthly,22.0,"22,00 €",EUR
be,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
be,Claude Pro - Annual,239.0,"239,00 €",EUR
be,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
ie,Claude Pro - Monthly,22.0,€22.00,EUR
ie,Claude Max 5x - Monthly,137.99,€137.99,EUR
ie,Claude Max 20x - Monthly,274.99,€274.99,EUR
ie,Claude Pro - Annual,239.0,€239.00,EUR
jp,Claude Pro - Monthly,3400,"¥3,400",JPY
jp,Claude Max 5x - Monthly,21400,"¥21,400",JPY
jp,Claude Pro - Annual,36800,"¥36,800",JPY
jp,Claude Max 20x - Monthly,42400,"¥42,400",JPY
dk,Claude Pro - Monthly,179.0,"179,00 kr",DKK
dk,Claude Max 5x - Monthly,1119.0,"1.119,00 kr",DKK
dk,Claude Max 20x - Monthly,2249.0,"2.249,00 kr",DKK
dk,Claude Pro - Annual,1939.0,"1.939,00 kr",DKK
nz,Claude Pro - Monthly,40.0,$40.00,NZD
nz,Claude Max 5x - Monthly,249.99,$249.99,NZD
nz,Claude Pro - Annual,429.99,$429.99,NZD
nz,Claude Max 20x - Monthly,499.99,$499.99,NZD
ae,Claude Pro - Monthly,79.99,AED 79.99,AED
ae,Claude Max 5x - Monthly,499.99,AED 499.99,AED
ae,Claude Max 20x - Monthly,999.99,AED 999.99,AED
ae,Claude Pro - Annual,859.99,AED 859.99,AED
in,Claude Pro - Monthly,1999.0,"₹ 1,999",INR
in,Claude Max 5x - Monthly,12499.0,"₹ 12,499",INR
in,Claude Max 20x - Monthly,24999.0,"₹ 24,999",INR
in,Claude Pro - Annual,21500.0,"₹ 21,500",INR
sa,Claude Pro - Monthly,89.99,SAR 89.99,SAR
sa,Claude Max 5x - Monthly,559.99,SAR 559.99,SAR
sa,Claude Max 20x - Monthly,1119.99,"SAR 1,119.99",SAR
sa,Claude Pro - Annual,999.99,SAR 999.99,SAR
br,Claude Pro - Monthly,109.9,"R$ 109,90",BRL
br,Claude Max 5x - Monthly,689.0,"R$ 689,00",BRL
br,Claude Max 20x - Monthly,1369.9,"R$ 1.369,90",BRL
mx,Claude Pro - Monthly,399.0,$399.00,MXN
mx,Claude Max 5x - Monthly,2499.0,"$2,499.00",MXN
mx,Claude Max 20x - Monthly,4999.0,"$4,999.00",MXN
pl,Claude Pro - Monthly,99.99,"99,99 zł",PLN
pl,Claude Max 5x - Monthly,629.0,"629,00 zł",PLN
pl,Claude Max 20x - Monthly,1249.99,"1 249,99 zł",PLN
pl,Claude Pro - Annual,1079.99,"1 079,99 zł",PLN
id,Claude Pro - Monthly,349000,Rp 349ribu,IDR
id,Claude Max 5x - Monthly,2199000,"Rp 2,199juta",IDR
id,Claude Max 20x - Monthly,4349000,"Rp 4,349juta",IDR
id,Claude Pro - Annual,3799000,"Rp 3,799juta",IDR
tw,Claude Pro - Monthly,690,NT$690.00,TWD
tw,Claude Max 5x - Monthly,4300,"NT$4,300.00",TWD
tw,Claude Max 20x - Monthly,8600,"NT$8,600.00",TWD
tw,Claude Pro - Annual,7450,"NT$7,450.00",TWD
lu,Claude Pro - Monthly,22.0,"22,00 €",EUR
lu,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
lu,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
lu,Claude Pro - Annual,239.0,"239,00 €",EUR
za,Claude Pro - Monthly,399.99,R399.99,ZAR
za,Claude Max 5x - Monthly,2499.99,"R2,499.99",ZAR
za,Claude Max 20x - Monthly,4999.99,"R4,999.99",ZAR
za,Claude Pro - Annual,4349.99,"R4,349.99",ZAR
cz,Claude Pro - Monthly,499.0,"499,00 Kč",CZK
cz,Claude Max 5x - Monthly,3100.0,"3 100,00 Kč",CZK
cz,Claude Max 20x - Monthly,6199.0,"6 199,00 Kč",CZK
cz,Claude Pro - Annual,5390.0,"5 390,00 Kč",CZK
gr,Claude Pro - Monthly,22.0,"22,00 €",EUR
gr,Claude Max 5x - Monthly,137.99,"137,99 €",EUR
gr,Claude Max 20x - Monthly,274.99,"274,99 €",EUR
gr,Claude Pro - Annual,239.0,"239,00 €",EUR
ng,Claude Pro - Monthly,14900.0,"₦ 14,900.00",NGN
ng,Claude Max 5x - Monthly,100000.0,"₦ 100,000.00",NGN
ng,Claude Max 20x - Monthly,200000.0,"₦ 200,000.00",NGN
